id|version|name|description|type
||PEAR CIDER|PEAR CIDER|BEERS_CIDERS
||SAISON BEER|SAISON BEER|BEERS_CIDERS
||SPECIAL BREW|SPECIAL BREW|BEERS_CIDERS
||STOUT|STOUT|BEERS_CIDERS
||STRONGBOW CIDER|STRONGBOW CIDER|BEERS_CIDERS
||BEERS|BEERS|BEERS_CIDERS
||CIDERS|CIDERS|BEERS_CIDERS
||TENNANTS BEER|TENNANTS BEER|BEERS_CIDERS
||7UP|7UP|MIXERS
||AGAVE SYRUP|AGAVE SYRUP|MIXERS
||ANGOSTURA BITTER|ANGOSTURA BITTER|MIXERS
||APPLE AND BLACKCURRENT JUICE|APPLE AND BLACKCURRENT JUICE|MIXERS
||APPLE AND MANGO JUICE|APPLE AND MANGO JUICE|MIXERS
||APPLE AND RHUBARB JUICE|APPLE AND RHUBARB JUICE|MIXERS
||APPLE JUICE|APPLE JUICE|MIXERS
||APRICOT JUICE|APRICOT JUICE|MIXERS
||ARIZONA ICED TEA|ARIZONA ICED TEA|MIXERS
||BANANA JUICE|BANANA JUICE|MIXERS
||BEETROOT JUICE|BEETROOT JUICE|MIXERS
||BITTER LEMON|BITTER LEMON|MIXERS
||BITTERED SLING DENMAN BITTERS|BITTERED SLING DENMAN BITTERS|MIXERS
||BITTERED SLING GRAPEFRUIT & HOPS BITTERS|BITTERED SLING GRAPEFRUIT & HOPS BITTERS|MIXERS
||BITTERED SLING LEM-MARRAKECH BITTERS|BITTERED SLING LEM-MARRAKECH BITTERS|MIXERS
||BITTERED SLING MOONDOG BITTERS|BITTERED SLING MOONDOG BITTERS|MIXERS
||BITTERED SLING ORANGE & JUNPIER BITTERS|BITTERED SLING ORANGE & JUNPIER BITTERS|MIXERS
||BITTERED SLING PLUM & ROOTBEER BITTERES|BITTERED SLING PLUM & ROOTBEER BITTERES|MIXERS
||BITTERMANS GRAPEFRUIT BITTER|BITTERMANS GRAPEFRUIT BITTER|MIXERS
||BITTERMENS XOCOLATL MOLE BITTERS|BITTERMENS XOCOLATL MOLE BITTERS|MIXERS
||BLACK WALNUT BITTERS|BLACK WALNUT BITTERS|MIXERS
||BLACKCURRANT CORDIAL|BLACKCURRANT CORDIAL|MIXERS
||BLACKCURRANT JUICE|BLACKCURRANT JUICE|MIXERS
||BLUEBERRY JUICE|BLUEBERRY JUICE|MIXERS
||CANADA DRY|CANADA DRY|MIXERS
||CARAMEL SYRUP|CARAMEL SYRUP|MIXERS
||CARDAMOM SYRUP|CARDAMOM SYRUP|MIXERS
||CARROT JUICE|CARROT JUICE|MIXERS
||CELERY BITTERS|CELERY BITTERS|MIXERS
||CHERRY JUICE|CHERRY JUICE|MIXERS
||CHERRY SYRUP|CHERRY SYRUP|MIXERS
||CHERRYADE|CHERRYADE|MIXERS
||CHOCOLATE BITTERS|CHOCOLATE BITTERS|MIXERS
||CHOCOLATE CHIP COOKIE SYRUP|CHOCOLATE CHIP COOKIE SYRUP|MIXERS
||CHOCOLATE SYRUP|CHOCOLATE SYRUP|MIXERS
||CINNAMON SYRUP|CINNAMON SYRUP|MIXERS
||CITRUS AGAVE|CITRUS AGAVE|MIXERS
||CLAMATO|CLAMATO|MIXERS
||CLEMENTINE JUICE|CLEMENTINE JUICE|MIXERS
||CLUB LEMON|CLUB LEMON|MIXERS
||CLUB SODA|CLUB SODA|MIXERS
||COCONUT SYRUP|COCONUT SYRUP|MIXERS
||COCONUT WATER SYRUP|COCONUT WATER SYRUP|MIXERS
||COKE|COKE|MIXERS
||CRANBERRY JUICE|CRANBERRY JUICE|MIXERS
||CREAM SODA|CREAM SODA|MIXERS
||DIET COKE|DIET COKE|MIXERS
||DR. PEPPER|DR. PEPPER|MIXERS
||EARLY GREY GOMME SYRUP|EARLY GREY GOMME SYRUP|MIXERS
||ELDERFLOWER CORDIAL|ELDERFLOWER CORDIAL|MIXERS
||ELDERFLOWER SYRUP|ELDERFLOWER SYRUP|MIXERS
||ENERGY DRINK|ENERGY DRINK|MIXERS
||FALERNUM|FALERNUM|MIXERS
||FANTA FRUIT TWIST|FANTA FRUIT TWIST|MIXERS
||FEE BROTHERS PLUM BITTERS|FEE BROTHERS PLUM BITTERS|MIXERS
||FENTIMAN'S VICTORIAN ROSE LEMONADA SODA|FENTIMAN'S VICTORIAN ROSE LEMONADA SODA|MIXERS
||FERNET BRANCA BITTERS|FERNET BRANCA BITTERS|MIXERS
||FIZZY ORANGE DRINK|FIZZY ORANGE DRINK|MIXERS
||GINGER ALE|GINGER ALE|MIXERS
||GINGER BEER|GINGER BEER|MIXERS
||GINGER BITTERS|GINGER BITTERS|MIXERS
||GINGER BREAD SYRUP|GINGER BREAD SYRUP|MIXERS
||GINGER SYRUP|GINGER SYRUP|MIXERS
||GOMME SYRUP|GOMME SYRUP|MIXERS
||GRAPE JUICE|GRAPE JUICE|MIXERS
||GRAPE SODAPOP|GRAPE SODAPOP|MIXERS
||GRAPEFRUIT BITTERS|GRAPEFRUIT BITTERS|MIXERS
||GRAPEFRUIT JUICE|GRAPEFRUIT JUICE|MIXERS
||GREEN TEA BITTER|GREEN TEA BITTER|MIXERS
||GRENADINE|GRENADINE|MIXERS
||GUAVA JUICE|GUAVA JUICE|MIXERS
||HALF AND HALF|HALF AND HALF|MIXERS
||HONEY SYRUP|HONEY SYRUP|MIXERS
||ICE TEA|ICE TEA|MIXERS
||IRN BRU|IRN BRU|MIXERS
||LAVENDER SYRUP|LAVENDER SYRUP|MIXERS
||LEMON BITTERS|LEMON BITTERS|MIXERS
||LEMON CORDIAL|LEMON CORDIAL|MIXERS
||LEMON JUICE|LEMON JUICE|MIXERS
||LEMON LIME SODA|LEMON LIME SODA|MIXERS
||LEMON SQUASH|LEMON SQUASH|MIXERS
||LEMON SYRUP|LEMON SYRUP|MIXERS
||LEMONADE|LEMONADE|MIXERS
||LIME BITTERS|LIME BITTERS|MIXERS
||LIME COKE|LIME COKE|MIXERS
||LIME CORDIAL|LIME CORDIAL|MIXERS
||LIME JUICE|LIME JUICE|MIXERS
||LIME MARGARITA MIX|LIME MARGARITA MIX|MIXERS
||LIMEADE|LIMEADE|MIXERS
||LUCOZADE|LUCOZADE|MIXERS
||LYCHEE JUICE|LYCHEE JUICE|MIXERS
||MANGO JUICE|MANGO JUICE|MIXERS
||MAPLE SYRUP|MAPLE SYRUP|MIXERS
||MARASCHINO CHERRY JUICE|MARASCHINO CHERRY JUICE|MIXERS
||MARGARITA MIX|MARGARITA MIX|MIXERS
||MIKE'S HARD BERRY|MIKE'S HARD BERRY|MIXERS
||MINT SYRUP|MINT SYRUP|MIXERS
||MOUNTAIN DEW|MOUNTAIN DEW|MIXERS
||NON-ALCOHOLIC APPLE CIDER|NON-ALCOHOLIC APPLE CIDER|MIXERS
||OLIVE JUICE|OLIVE JUICE|MIXERS
||ORANGE + CRANBERRY J20|ORANGE + CRANBERRY J20|MIXERS
||ORANGE BITTERS|ORANGE BITTERS|MIXERS
||ORANGE BLOSSOM WATER|ORANGE BLOSSOM WATER|MIXERS
||ORANGE CORDIAL|ORANGE CORDIAL|MIXERS
||ORANGE FLOWER WATER|ORANGE FLOWER WATER|MIXERS
||ORANGE JUICE|ORANGE JUICE|MIXERS
||ORANGE SYRUP|ORANGE SYRUP|MIXERS
||ORGEAT SYRUP|ORGEAT SYRUP|MIXERS
||PAPAYA JUICE|PAPAYA JUICE|MIXERS
||PASSIONFRUIT JUICE|PASSIONFRUIT JUICE|MIXERS
||PASSIONFRUIT SYRUP|PASSIONFRUIT SYRUP|MIXERS
||PEACH BITTERS|PEACH BITTERS|MIXERS
||PEACH JUICE|PEACH JUICE|MIXERS
||PEACH NECTAR|PEACH NECTAR|MIXERS
||PEAR JUICE|PEAR JUICE|MIXERS
||PEAR NECTAR|PEAR NECTAR|MIXERS
||PEYCHAUD'S AROMATIC BITTERS|PEYCHAUD'S AROMATIC BITTERS|MIXERS
||PINA COLADA MIX|PINA COLADA MIX|MIXERS
||PINEAPPLE JUICE|PINEAPPLE JUICE|MIXERS
||PINK GRAPEFRUIT JUICE|PINK GRAPEFRUIT JUICE|MIXERS
||PINK LEMONADE|PINK LEMONADE|MIXERS
||PISTACHIO SYRUP|PISTACHIO SYRUP|MIXERS
||PLUM BITTERS|PLUM BITTERS|MIXERS
||POMEGRANATE JUICE|POMEGRANATE JUICE|MIXERS
||POMEGRANATE SYRUP|POMEGRANATE SYRUP|MIXERS
||POWERADE|POWERADE|MIXERS
||RASPBERRY CORDIAL|RASPBERRY CORDIAL|MIXERS
||RASPBERRY JUICE|RASPBERRY JUICE|MIXERS
||RASPBERRY LEMONADE|RASPBERRY LEMONADE|MIXERS
||RASPBERRY SYRUP|RASPBERRY SYRUP|MIXERS
||RED BULL|RED BULL|MIXERS
||RED GRAPE JUICE|RED GRAPE JUICE|MIXERS
||RHUBARB BITTERS|RHUBARB BITTERS|MIXERS
||RIBENA|RIBENA|MIXERS
||ROOTBEER|ROOTBEER|MIXERS
||ROSE SYRUP|ROSE SYRUP|MIXERS
||ROSE WATER|ROSE WATER|MIXERS
||ROSE'S LIME JUICE|ROSE'S LIME JUICE|MIXERS
||ROSEMARY SYRUP|ROSEMARY SYRUP|MIXERS
||SCHWEPPES BITTER LEMON|SCHWEPPES BITTER LEMON|MIXERS
||SODA WATER|SODA WATER|MIXERS
||SOUR MIX|SOUR MIX|MIXERS
||SPARKLING WATER|SPARKLING WATER|MIXERS
||SPICED PUMPKIN SYRUP|SPICED PUMPKIN SYRUP|MIXERS
||SPRITE|SPRITE|MIXERS
||STRAWBERRY JUICE|STRAWBERRY JUICE|MIXERS
||STRAWBERRY MILKSHAKE|STRAWBERRY MILKSHAKE|MIXERS
||STRAWBERRY SYRUP|STRAWBERRY SYRUP|MIXERS
||BAR STOCK|BAR STOCK|MIXERS
||JUICES|JUICES|MIXERS
||SOFT DRINKS|SOFT DRINKS|MIXERS
||SYRUPS|SYRUPS|MIXERS
||SUGAR SYRUP|SUGAR SYRUP|MIXERS
||TANGERINE JUICE|TANGERINE JUICE|MIXERS
||TIZER|TIZER|MIXERS
||TOMATO JUICE|TOMATO JUICE|MIXERS
||TONIC WATER|TONIC WATER|MIXERS
||TROPICAL JUICE|TROPICAL JUICE|MIXERS
||UGLI FRUIT JUICE|UGLI FRUIT JUICE|MIXERS
||VANILLA COKE|VANILLA COKE|MIXERS
||VANILLA SYRUP|VANILLA SYRUP|MIXERS
||VELVET FALERNUM|VELVET FALERNUM|MIXERS
||VIMTO|VIMTO|MIXERS
||VIOLET SYRUP|VIOLET SYRUP|MIXERS
||WATERMELON JUICE|WATERMELON JUICE|MIXERS
||WHEATGRASS JUICE|WHEATGRASS JUICE|MIXERS
||WHITE CRANBERRY AND APPLE JUICE|WHITE CRANBERRY AND APPLE JUICE|MIXERS
||WHITE CRANBERRY JUICE|WHITE CRANBERRY JUICE|MIXERS
||WHITE GRAPE JUICE|WHITE GRAPE JUICE|MIXERS
||ALMOND EXTRACT|ALMOND EXTRACT|OTHERS
||ALMOND MILK|ALMOND MILK|OTHERS
||APPLE|APPLE|OTHERS
||APRICOT JAM|APRICOT JAM|OTHERS
||BACARDI BREEZER ORANGE|BACARDI BREEZER ORANGE|OTHERS
||BACARDI BREEZER WATERMELON|BACARDI BREEZER WATERMELON|OTHERS
||BANANA|BANANA|OTHERS
||BASIL LEAVES|BASIL LEAVES|OTHERS
||BLACK TEA|BLACK TEA|OTHERS
||BLACKBERRIES|BLACKBERRIES|OTHERS
||BLUEBERRIES|BLUEBERRIES|OTHERS
||BROWN SUGAR|BROWN SUGAR|OTHERS
||BROWN TOAST|BROWN TOAST|OTHERS
||BUTTER|BUTTER|OTHERS
||CAMOMILE TEA|CAMOMILE TEA|OTHERS
||CARDAMOM|CARDAMOM|OTHERS
||CARDAMOM PODS|CARDAMOM PODS|OTHERS
||CAYENNE PEPPER|CAYENNE PEPPER|OTHERS
||CELERY|CELERY|OTHERS
||CELERY SALT|CELERY SALT|OTHERS
||CHERRY|CHERRY|OTHERS
||CHILLI PEPPERS|CHILLI PEPPERS|OTHERS
||CHOCOLATE|CHOCOLATE|OTHERS
||CHOCOLATE ICE CREAM|CHOCOLATE ICE CREAM|OTHERS
||CHOCOLATE MILK|CHOCOLATE MILK|OTHERS
||CHOCOLATE SAUCE|CHOCOLATE SAUCE|OTHERS
||CINNAMON|CINNAMON|OTHERS
||CLOVES|CLOVES|OTHERS
||COCOA POWDER|COCOA POWDER|OTHERS
||COCONUT|COCONUT|OTHERS
||COCONUT CREAM|COCONUT CREAM|OTHERS
||COCONUT MILK|COCONUT MILK|OTHERS
||COFFEE|COFFEE|OTHERS
||COFFEE BEANS|COFFEE BEANS|OTHERS
||COFFEE ICE CREAM|COFFEE ICE CREAM|OTHERS
||CREAM|CREAM|OTHERS
||CUCUMBER|CUCUMBER|OTHERS
||DARK CHOCOLATE POWDER|DARK CHOCOLATE POWDER|OTHERS
||DEMARERA SUGAR|DEMARERA SUGAR|OTHERS
||DESICCATED COCONUT|DESICCATED COCONUT|OTHERS
||DOUBLE CREAM|DOUBLE CREAM|OTHERS
||EARL GREY TEA|EARL GREY TEA|OTHERS
||EGG WHITE|EGG WHITE|OTHERS
||EGG YOLK|EGG YOLK|OTHERS
||EGGNOG|EGGNOG|OTHERS
||ESPRESSO COFFEE|ESPRESSO COFFEE|OTHERS
||FRIJI CHOCOLATE MILKSHAKE|FRIJI CHOCOLATE MILKSHAKE|OTHERS
||FROZEN PEACHES|FROZEN PEACHES|OTHERS
||GINGER|GINGER|OTHERS
||GINGERBREAD|GINGERBREAD|OTHERS
||GREEN FOOD COLOURING|GREEN FOOD COLOURING|OTHERS
||GREEN OLIVES|GREEN OLIVES|OTHERS
||GREEN TEA|GREEN TEA|OTHERS
||GROUND COFFEE BEANS|GROUND COFFEE BEANS|OTHERS
||HONEY|HONEY|OTHERS
||HOT CHOCOLATE|HOT CHOCOLATE|OTHERS
||ICING SUGAR|ICING SUGAR|OTHERS
||JASMINE TEA|JASMINE TEA|OTHERS
||JELLY|JELLY|OTHERS
||KIWI|KIWI|OTHERS
||LEMON|LEMON|OTHERS
||LEMON BALM|LEMON BALM|OTHERS
||LEMON ICE CREAM|LEMON ICE CREAM|OTHERS
||LEMON SORBET|LEMON SORBET|OTHERS
||LIME|LIME|OTHERS
||LIME POPSICLE|LIME POPSICLE|OTHERS
||MANGO|MANGO|OTHERS
||MANGO PUREE|MANGO PUREE|OTHERS
||MANGO SORBET|MANGO SORBET|OTHERS
||MARASCHINO CHERRY|MARASCHINO CHERRY|OTHERS
||MARMALADE|MARMALADE|OTHERS
||MASCARPONE|MASCARPONE|OTHERS
||MELON|MELON|OTHERS
||MILK|MILK|OTHERS
||MILK CHOCOLATE POWDER|MILK CHOCOLATE POWDER|OTHERS
||MINCEMEAT|MINCEMEAT|OTHERS
||MINT LEAVES|MINT LEAVES|OTHERS
||NATURAL YOGHURT|NATURAL YOGHURT|OTHERS
||NUTELLA|NUTELLA|OTHERS
||NUTMEG|NUTMEG|OTHERS
||OLIVES|OLIVES|OTHERS
||ONION|ONION|OTHERS
||ORANGE|ORANGE|OTHERS
||ORANGE REEF|ORANGE REEF|OTHERS
||OREO COOKIE|OREO COOKIE|OTHERS
||PASSIONFRUIT|PASSIONFRUIT|OTHERS
||PASSIONFRUIT PUREE|PASSIONFRUIT PUREE|OTHERS
||PEACH|PEACH|OTHERS
||PEACH PUREE|PEACH PUREE|OTHERS
||PEAR|PEAR|OTHERS
||PEPPER|PEPPER|OTHERS
||PEPPERMINT|PEPPERMINT|OTHERS
||PINEAPPLE|PINEAPPLE|OTHERS
||PINK PEPPERCORN|PINK PEPPERCORN|OTHERS
||POMEGRANATE|POMEGRANATE|OTHERS
||POPCORN|POPCORN|OTHERS
||PUMPKIN PUREE|PUMPKIN PUREE|OTHERS
||RASPBERRY|RASPBERRY|OTHERS
||RASPBERRY PUREE|RASPBERRY PUREE|OTHERS
||ROSEMARY|ROSEMARY|OTHERS
||RUM & RAISIN ICE CREAM|RUM & RAISIN ICE CREAM|OTHERS
||SALT|SALT|OTHERS
||SINGLE CREAM|SINGLE CREAM|OTHERS
||SKITTLES|SKITTLES|OTHERS
||SMIRNOFF ICE|SMIRNOFF ICE|OTHERS
||SMIRNOFF ICE (BLACK)|SMIRNOFF ICE (BLACK)|OTHERS
||SMIRNOFF ICE RASPBERRY|SMIRNOFF ICE RASPBERRY|OTHERS
||SOY SAUCE|SOY SAUCE|OTHERS
||STEAMED MILK|STEAMED MILK|OTHERS
||STRAWBERRY|STRAWBERRY|OTHERS
||STRAWBERRY PUREE|STRAWBERRY PUREE|OTHERS
||STRAWBERRY VANILLA ICE CREAM|STRAWBERRY VANILLA ICE CREAM|OTHERS
||ALCOPOPS|ALCOPOPS|OTHERS
||FRUITS|FRUITS|OTHERS
||HOME|HOME|OTHERS
||SUGAR|SUGAR|OTHERS
||SWEETENED CONDENSED MILK|SWEETENED CONDENSED MILK|OTHERS
||TABASCO SAUCE|TABASCO SAUCE|OTHERS
||TOMATOES|TOMATOES|OTHERS
||VANILLA ESSENCE|VANILLA ESSENCE|OTHERS
||VANILLA ICE CREAM|VANILLA ICE CREAM|OTHERS
||VANILLA POD|VANILLA POD|OTHERS
||WASABI|WASABI|OTHERS
||WATERMELON|WATERMELON|OTHERS
||WHIPPED CREAM|WHIPPED CREAM|OTHERS
||WHITE BALSAMIC VINEGAR|WHITE BALSAMIC VINEGAR|OTHERS
||WKD BLUE|WKD BLUE|OTHERS
||WKD CLEAR|WKD CLEAR|OTHERS
||WKD ORIGINAL|WKD ORIGINAL|OTHERS
||WKD RED|WKD RED|OTHERS
