id|version|name|description|rate|duration
||Hot Toddy|The Hot Toddy, with its warming blend of spices and sweet honey aroma is the perfect comforter and will soothe any aches, pains or winter sniffles.|0|0
||Martins Rum||0|0
||Hot Tea Toddy|A variation on the classic Hot Toddy, this comforting drink is especially good if you think you are coming down with a cold. The recipe below makes enough for 2 cups - a drink is best when shared!|0|0
